path,class,sport
UCF50/ThrowDiscus/v_ThrowDiscus_g20_c02.avi,10,ThrowDiscus
UCF50/TaiChi/v_TaiChi_g08_c02.avi,31,TaiChi
UCF50/HorseRiding/v_HorseRiding_g07_c03.avi,29,HorseRiding
UCF50/Punch/v_Punch_g11_c05.avi,39,Punch
UCF50/SoccerJuggling/v_SoccerJuggling_g16_c01.avi,2,SoccerJuggling
UCF50/HorseRiding/v_HorseRiding_g16_c01.avi,29,HorseRiding
UCF50/PlayingPiano/v_PlayingPiano_g17_c01.avi,12,PlayingPiano
UCF50/MilitaryParade/v_MilitaryParade_g15_c01.avi,3,MilitaryParade
UCF50/SkateBoarding/v_SkateBoarding_g21_c03.avi,28,SkateBoarding
UCF50/PlayingGuitar/v_PlayingGuitar_g03_c05.avi,9,PlayingGuitar
UCF50/BreastStroke/v_BreastStroke_g21_c01.avi,40,BreastStroke
UCF50/PlayingPiano/v_PlayingPiano_g22_c02.avi,12,PlayingPiano
UCF50/PlayingTabla/v_PlayingTabla_g20_c03.avi,38,PlayingTabla
UCF50/SoccerJuggling/v_SoccerJuggling_g07_c04.avi,2,SoccerJuggling
UCF50/TaiChi/v_TaiChi_g25_c01.avi,31,TaiChi
UCF50/ThrowDiscus/v_ThrowDiscus_g09_c03.avi,10,ThrowDiscus
UCF50/JumpingJack/v_JumpingJack_g19_c06.avi,19,JumpingJack
UCF50/BaseballPitch/v_BaseballPitch_g17_c02.avi,4,BaseballPitch
UCF50/Nunchucks/v_Nunchucks_g20_c03.avi,26,Nunchucks
UCF50/PlayingGuitar/v_PlayingGuitar_g17_c07.avi,9,PlayingGuitar
UCF50/JumpingJack/v_JumpingJack_g09_c05.avi,19,JumpingJack
UCF50/Biking/v_Biking_g05_c06.avi,7,Biking
UCF50/TrampolineJumping/v_TrampolineJumping_g16_c01.avi,24,TrampolineJumping
UCF50/ThrowDiscus/v_ThrowDiscus_g25_c02.avi,10,ThrowDiscus
UCF50/YoYo/v_YoYo_g13_c01.avi,1,YoYo
UCF50/RockClimbingIndoor/v_RockClimbingIndoor_g06_c04.avi,41,RockClimbingIndoor
UCF50/ThrowDiscus/v_ThrowDiscus_g25_c03.avi,10,ThrowDiscus
UCF50/HighJump/v_HighJump_g11_c01.avi,49,HighJump
UCF50/BaseballPitch/v_BaseballPitch_g12_c02.avi,4,BaseballPitch
UCF50/Skiing/v_Skiing_g20_c05.avi,45,Skiing
UCF50/HorseRiding/v_HorseRiding_g14_c03.avi,29,HorseRiding
UCF50/HorseRace/v_HorseRace_g23_c01.avi,0,HorseRace
UCF50/CleanAndJerk/v_CleanAndJerk_g23_c01.avi,16,CleanAndJerk
UCF50/PushUps/v_PushUps_g16_c02.avi,43,PushUps
UCF50/PlayingGuitar/v_PlayingGuitar_g10_c04.avi,9,PlayingGuitar
UCF50/TaiChi/v_TaiChi_g20_c01.avi,31,TaiChi
UCF50/Swing/v_Swing_g25_c03.avi,46,Swing
UCF50/Fencing/v_Fencing_g10_c01.avi,23,Fencing
UCF50/Billiards/v_Billards_g19_c06.avi,25,Billiards
UCF50/PlayingTabla/v_PlayingTabla_g03_c01.avi,38,PlayingTabla
UCF50/JumpingJack/v_JumpingJack_g15_c02.avi,19,JumpingJack
UCF50/Basketball/v_Basketball_g15_c03.avi,17,Basketball
UCF50/SkateBoarding/v_SkateBoarding_g12_c01.avi,28,SkateBoarding
UCF50/Biking/v_Biking_g10_c06.avi,7,Biking
UCF50/SkateBoarding/v_SkateBoarding_g11_c01.avi,28,SkateBoarding
UCF50/CleanAndJerk/v_CleanAndJerk_g19_c03.avi,16,CleanAndJerk
UCF50/HorseRiding/v_HorseRiding_g07_c04.avi,29,HorseRiding
UCF50/PoleVault/v_PoleVault_g19_c02.avi,13,PoleVault
UCF50/SkateBoarding/v_SkateBoarding_g18_c04.avi,28,SkateBoarding
UCF50/BreastStroke/v_BreastStroke_g11_c01.avi,40,BreastStroke
UCF50/Basketball/v_Basketball_g05_c02.avi,17,Basketball
UCF50/ThrowDiscus/v_ThrowDiscus_g24_c03.avi,10,ThrowDiscus
UCF50/PushUps/v_PushUps_g03_c03.avi,43,PushUps
UCF50/RopeClimbing/v_RopeClimbing_g14_c05.avi,20,RopeClimbing
UCF50/PullUps/v_Pullup_g21_c04.avi,47,PullUps
UCF50/PlayingGuitar/v_PlayingGuitar_g10_c07.avi,9,PlayingGuitar
UCF50/WalkingWithDog/v_WalkingWithDog_g21_c04.avi,34,WalkingWithDog
UCF50/BenchPress/v_BenchPress_g14_c07.avi,6,BenchPress
UCF50/BreastStroke/v_BreastStroke_g15_c03.avi,40,BreastStroke
UCF50/JugglingBalls/v_JugglingBalls_g06_c06.avi,5,JugglingBalls
UCF50/Skiing/v_Skiing_g09_c05.avi,45,Skiing
UCF50/Nunchucks/v_Nunchucks_g28_c02.avi,26,Nunchucks
UCF50/TennisSwing/v_TennisSwing_g11_c02.avi,30,TennisSwing
UCF50/Punch/v_Punch_g03_c01.avi,39,Punch
UCF50/Billiards/v_Billards_g25_c07.avi,25,Billiards
UCF50/PullUps/v_Pullup_g07_c01.avi,47,PullUps
UCF50/Nunchucks/v_Nunchucks_g11_c06.avi,26,Nunchucks
UCF50/RockClimbingIndoor/v_RockClimbingIndoor_g06_c01.avi,41,RockClimbingIndoor
UCF50/SoccerJuggling/v_SoccerJuggling_g16_c02.avi,2,SoccerJuggling
UCF50/RopeClimbing/v_RopeClimbing_g20_c01.avi,20,RopeClimbing
UCF50/MilitaryParade/v_MilitaryParade_g14_c03.avi,3,MilitaryParade
UCF50/PullUps/v_Pullup_g08_c04.avi,47,PullUps
UCF50/TrampolineJumping/v_TrampolineJumping_g23_c01.avi,24,TrampolineJumping
UCF50/PommelHorse/v_PommelHorse_g07_c06.avi,27,PommelHorse
UCF50/CleanAndJerk/v_CleanAndJerk_g09_c03.avi,16,CleanAndJerk
UCF50/JavelinThrow/v_JavelinThrow_g14_c05.avi,42,JavelinThrow
UCF50/SoccerJuggling/v_SoccerJuggling_g10_c02.avi,2,SoccerJuggling
UCF50/HulaHoop/v_HulaHoop_g25_c01.avi,18,HulaHoop
UCF50/SoccerJuggling/v_SoccerJuggling_g07_c02.avi,2,SoccerJuggling
UCF50/RopeClimbing/v_RopeClimbing_g18_c01.avi,20,RopeClimbing
UCF50/YoYo/v_YoYo_g09_c04.avi,1,YoYo
UCF50/Skiing/v_Skiing_g12_c03.avi,45,Skiing
UCF50/Rowing/v_Rowing_g14_c04.avi,37,Rowing
UCF50/Kayaking/v_Kayaking_g14_c01.avi,44,Kayaking
UCF50/TrampolineJumping/v_TrampolineJumping_g11_c01.avi,24,TrampolineJumping
UCF50/TennisSwing/v_TennisSwing_g20_c06.avi,30,TennisSwing
UCF50/JavelinThrow/v_JavelinThrow_g07_c02.avi,42,JavelinThrow
UCF50/Skiing/v_Skiing_g03_c02.avi,45,Skiing
UCF50/Lunges/v_Lunges_g05_c02.avi,36,Lunges
UCF50/Rowing/v_Rowing_g17_c03.avi,37,Rowing
UCF50/Diving/v_Diving_g09_c03.avi,32,Diving
UCF50/ThrowDiscus/v_ThrowDiscus_g12_c02.avi,10,ThrowDiscus
UCF50/PoleVault/v_PoleVault_g25_c04.avi,13,PoleVault
UCF50/Drumming/v_Drumming_g18_c04.avi,33,Drumming
UCF50/HighJump/v_HighJump_g05_c05.avi,49,HighJump
UCF50/JumpRope/v_JumpRope_g08_c06.avi,48,JumpRope
UCF50/PlayingGuitar/v_PlayingGuitar_g19_c03.avi,9,PlayingGuitar
UCF50/PlayingTabla/v_PlayingTabla_g18_c06.avi,38,PlayingTabla
UCF50/MilitaryParade/v_MilitaryParade_g03_c01.avi,3,MilitaryParade
UCF50/PoleVault/v_PoleVault_g19_c06.avi,13,PoleVault
UCF50/HorseRace/v_HorseRace_g16_c02.avi,0,HorseRace
UCF50/RockClimbingIndoor/v_RockClimbingIndoor_g14_c02.avi,41,RockClimbingIndoor
UCF50/PlayingViolin/v_PlayingViolin_g13_c01.avi,15,PlayingViolin
UCF50/MilitaryParade/v_MilitaryParade_g12_c01.avi,3,MilitaryParade
UCF50/Drumming/v_Drumming_g09_c01.avi,33,Drumming
UCF50/PullUps/v_Pullup_g28_c03.avi,47,PullUps
UCF50/Mixing/v_Mixing_g06_c04.avi,14,Mixing
UCF50/RopeClimbing/v_RopeClimbing_g25_c05.avi,20,RopeClimbing
UCF50/TrampolineJumping/v_TrampolineJumping_g15_c03.avi,24,TrampolineJumping
UCF50/JavelinThrow/v_JavelinThrow_g06_c03.avi,42,JavelinThrow
UCF50/Rowing/v_Rowing_g06_c02.avi,37,Rowing
UCF50/JavelinThrow/v_JavelinThrow_g21_c02.avi,42,JavelinThrow
UCF50/TrampolineJumping/v_TrampolineJumping_g09_c01.avi,24,TrampolineJumping
UCF50/Lunges/v_Lunges_g19_c09.avi,36,Lunges
UCF50/SalsaSpin/v_SalsaSpin_g23_c04.avi,11,SalsaSpin
UCF50/Skiing/v_Skiing_g07_c02.avi,45,Skiing
UCF50/PlayingViolin/v_PlayingViolin_g06_c04.avi,15,PlayingViolin
UCF50/Biking/v_Biking_g07_c03.avi,7,Biking
UCF50/PizzaTossing/v_PizzaTossing_g08_c04.avi,22,PizzaTossing
UCF50/Nunchucks/v_Nunchucks_g22_c03.avi,26,Nunchucks
UCF50/PommelHorse/v_PommelHorse_g17_c04.avi,27,PommelHorse
UCF50/Fencing/v_Fencing_g03_c03.avi,23,Fencing
UCF50/Rowing/v_Rowing_g13_c07.avi,37,Rowing
UCF50/Skiing/v_Skiing_g25_c01.avi,45,Skiing
UCF50/Billiards/v_Billards_g09_c03.avi,25,Billiards
UCF50/Drumming/v_Drumming_g23_c01.avi,33,Drumming
UCF50/Swing/v_Swing_g06_c02.avi,46,Swing
UCF50/PommelHorse/v_PommelHorse_g21_c02.avi,27,PommelHorse
UCF50/JavelinThrow/v_JavelinThrow_g06_c01.avi,42,JavelinThrow
UCF50/GolfSwing/v_GolfSwing_g25_c01.avi,21,GolfSwing
UCF50/PlayingPiano/v_PlayingPiano_g12_c01.avi,12,PlayingPiano
UCF50/YoYo/v_YoYo_g13_c02.avi,1,YoYo
UCF50/HorseRiding/v_HorseRiding_g15_c04.avi,29,HorseRiding
UCF50/BreastStroke/v_BreastStroke_g09_c02.avi,40,BreastStroke
UCF50/SoccerJuggling/v_SoccerJuggling_g11_c01.avi,2,SoccerJuggling
UCF50/Diving/v_Diving_g23_c04.avi,32,Diving
UCF50/TrampolineJumping/v_TrampolineJumping_g19_c06.avi,24,TrampolineJumping
UCF50/BenchPress/v_BenchPress_g22_c04.avi,6,BenchPress
UCF50/Billiards/v_Billards_g03_c05.avi,25,Billiards
UCF50/Mixing/v_Mixing_g12_c05.avi,14,Mixing
UCF50/Kayaking/v_Kayaking_g24_c04.avi,44,Kayaking
UCF50/Skijet/v_Skijet_g08_c01.avi,35,Skijet
UCF50/PoleVault/v_PoleVault_g18_c06.avi,13,PoleVault
UCF50/JavelinThrow/v_JavelinThrow_g09_c02.avi,42,JavelinThrow
UCF50/Mixing/v_Mixing_g13_c06.avi,14,Mixing
UCF50/BreastStroke/v_BreastStroke_g13_c04.avi,40,BreastStroke
UCF50/TrampolineJumping/v_TrampolineJumping_g09_c06.avi,24,TrampolineJumping
UCF50/BenchPress/v_BenchPress_g17_c07.avi,6,BenchPress
UCF50/WalkingWithDog/v_WalkingWithDog_g20_c04.avi,34,WalkingWithDog
UCF50/PullUps/v_Pullup_g29_c03.avi,47,PullUps
UCF50/BenchPress/v_BenchPress_g18_c02.avi,6,BenchPress
UCF50/TrampolineJumping/v_TrampolineJumping_g05_c04.avi,24,TrampolineJumping
UCF50/PoleVault/v_PoleVault_g16_c08.avi,13,PoleVault
UCF50/BenchPress/v_BenchPress_g23_c02.avi,6,BenchPress
UCF50/TennisSwing/v_TennisSwing_g09_c01.avi,30,TennisSwing
UCF50/Skiing/v_Skiing_g20_c07.avi,45,Skiing
UCF50/Swing/v_Swing_g14_c01.avi,46,Swing
UCF50/Punch/v_Punch_g03_c03.avi,39,Punch
UCF50/TennisSwing/v_TennisSwing_g19_c01.avi,30,TennisSwing
UCF50/MilitaryParade/v_MilitaryParade_g19_c06.avi,3,MilitaryParade
UCF50/Basketball/v_Basketball_g18_c01.avi,17,Basketball
UCF50/Lunges/v_Lunges_g03_c02.avi,36,Lunges
UCF50/HighJump/v_HighJump_g13_c02.avi,49,HighJump
UCF50/YoYo/v_YoYo_g16_c03.avi,1,YoYo
UCF50/RopeClimbing/v_RopeClimbing_g06_c03.avi,20,RopeClimbing
UCF50/Drumming/v_Drumming_g09_c02.avi,33,Drumming
UCF50/Mixing/v_Mixing_g22_c01.avi,14,Mixing
UCF50/SkateBoarding/v_SkateBoarding_g23_c01.avi,28,SkateBoarding
UCF50/JugglingBalls/v_JugglingBalls_g16_c04.avi,5,JugglingBalls
UCF50/RopeClimbing/v_RopeClimbing_g15_c03.avi,20,RopeClimbing
UCF50/GolfSwing/v_GolfSwing_g13_c04.avi,21,GolfSwing
UCF50/YoYo/v_YoYo_g21_c05.avi,1,YoYo
UCF50/PizzaTossing/v_PizzaTossing_g19_c05.avi,22,PizzaTossing
UCF50/Swing/v_Swing_g07_c01.avi,46,Swing
UCF50/MilitaryParade/v_MilitaryParade_g16_c02.avi,3,MilitaryParade
UCF50/Basketball/v_Basketball_g15_c01.avi,17,Basketball
UCF50/PoleVault/v_PoleVault_g20_c03.avi,13,PoleVault
UCF50/Punch/v_Punch_g12_c01.avi,39,Punch
UCF50/PullUps/v_Pullup_g03_c02.avi,47,PullUps
UCF50/HorseRace/v_HorseRace_g21_c01.avi,0,HorseRace
UCF50/JugglingBalls/v_JugglingBalls_g16_c02.avi,5,JugglingBalls
UCF50/JumpRope/v_JumpRope_g18_c07.avi,48,JumpRope
UCF50/Rowing/v_Rowing_g03_c07.avi,37,Rowing
UCF50/HorseRiding/v_HorseRiding_g19_c02.avi,29,HorseRiding
UCF50/PlayingViolin/v_PlayingViolin_g23_c02.avi,15,PlayingViolin
UCF50/SalsaSpin/v_SalsaSpin_g10_c05.avi,11,SalsaSpin
UCF50/PoleVault/v_PoleVault_g20_c02.avi,13,PoleVault
UCF50/Drumming/v_Drumming_g14_c05.avi,33,Drumming
UCF50/MilitaryParade/v_MilitaryParade_g17_c01.avi,3,MilitaryParade
UCF50/HorseRiding/v_HorseRiding_g14_c01.avi,29,HorseRiding
UCF50/Rowing/v_Rowing_g13_c03.avi,37,Rowing
UCF50/JugglingBalls/v_JugglingBalls_g06_c02.avi,5,JugglingBalls
UCF50/Drumming/v_Drumming_g03_c03.avi,33,Drumming
UCF50/JumpingJack/v_JumpingJack_g14_c01.avi,19,JumpingJack
UCF50/JugglingBalls/v_JugglingBalls_g19_c03.avi,5,JugglingBalls
UCF50/BreastStroke/v_BreastStroke_g19_c04.avi,40,BreastStroke
UCF50/JavelinThrow/v_JavelinThrow_g10_c02.avi,42,JavelinThrow
UCF50/PizzaTossing/v_PizzaTossing_g03_c01.avi,22,PizzaTossing
UCF50/PushUps/v_PushUps_g10_c01.avi,43,PushUps
UCF50/RopeClimbing/v_RopeClimbing_g19_c07.avi,20,RopeClimbing
UCF50/Skijet/v_Skijet_g18_c02.avi,35,Skijet
UCF50/Basketball/v_Basketball_g11_c02.avi,17,Basketball
UCF50/PoleVault/v_PoleVault_g05_c01.avi,13,PoleVault
UCF50/PullUps/v_Pullup_g05_c03.avi,47,PullUps
UCF50/SoccerJuggling/v_SoccerJuggling_g23_c01.avi,2,SoccerJuggling
UCF50/Mixing/v_Mixing_g08_c04.avi,14,Mixing
UCF50/TrampolineJumping/v_TrampolineJumping_g14_c04.avi,24,TrampolineJumping
UCF50/JumpingJack/v_JumpingJack_g25_c01.avi,19,JumpingJack
UCF50/BaseballPitch/v_BaseballPitch_g06_c06.avi,4,BaseballPitch
UCF50/WalkingWithDog/v_WalkingWithDog_g06_c04.avi,34,WalkingWithDog
UCF50/JumpingJack/v_JumpingJack_g19_c05.avi,19,JumpingJack
UCF50/ThrowDiscus/v_ThrowDiscus_g18_c05.avi,10,ThrowDiscus
UCF50/JugglingBalls/v_JugglingBalls_g14_c04.avi,5,JugglingBalls
UCF50/Lunges/v_Lunges_g03_c01.avi,36,Lunges
UCF50/CleanAndJerk/v_CleanAndJerk_g21_c02.avi,16,CleanAndJerk
UCF50/PullUps/v_Pullup_g13_c01.avi,47,PullUps
UCF50/PoleVault/v_PoleVault_g15_c04.avi,13,PoleVault
UCF50/HulaHoop/v_HulaHoop_g12_c05.avi,18,HulaHoop
UCF50/TennisSwing/v_TennisSwing_g07_c06.avi,30,TennisSwing
UCF50/TennisSwing/v_TennisSwing_g06_c07.avi,30,TennisSwing
UCF50/ThrowDiscus/v_ThrowDiscus_g10_c05.avi,10,ThrowDiscus
UCF50/SoccerJuggling/v_SoccerJuggling_g13_c03.avi,2,SoccerJuggling
UCF50/Swing/v_Swing_g06_c09.avi,46,Swing
UCF50/PoleVault/v_PoleVault_g24_c03.avi,13,PoleVault
UCF50/JavelinThrow/v_JavelinThrow_g03_c02.avi,42,JavelinThrow
UCF50/GolfSwing/v_GolfSwing_g12_c04.avi,21,GolfSwing
UCF50/Skiing/v_Skiing_g24_c05.avi,45,Skiing
UCF50/JumpingJack/v_JumpingJack_g23_c04.avi,19,JumpingJack
UCF50/Billiards/v_Billards_g03_c02.avi,25,Billiards
UCF50/CleanAndJerk/v_CleanAndJerk_g09_c04.avi,16,CleanAndJerk
UCF50/TaiChi/v_TaiChi_g23_c01.avi,31,TaiChi
UCF50/HorseRiding/v_HorseRiding_g10_c08.avi,29,HorseRiding
UCF50/VolleyballSpiking/v_VolleyballSpiking_g07_c06.avi,8,VolleyballSpiking
UCF50/TaiChi/v_TaiChi_g11_c04.avi,31,TaiChi
UCF50/HorseRiding/v_HorseRiding_g22_c06.avi,29,HorseRiding
UCF50/Diving/v_Diving_g10_c03.avi,32,Diving
UCF50/MilitaryParade/v_MilitaryParade_g20_c01.avi,3,MilitaryParade
UCF50/Mixing/v_Mixing_g07_c01.avi,14,Mixing
UCF50/HighJump/v_HighJump_g12_c03.avi,49,HighJump
UCF50/TaiChi/v_TaiChi_g07_c04.avi,31,TaiChi
UCF50/JugglingBalls/v_JugglingBalls_g09_c02.avi,5,JugglingBalls
UCF50/WalkingWithDog/v_WalkingWithDog_g14_c02.avi,34,WalkingWithDog
UCF50/Kayaking/v_Kayaking_g23_c05.avi,44,Kayaking
UCF50/TaiChi/v_TaiChi_g14_c01.avi,31,TaiChi
UCF50/PlayingViolin/v_PlayingViolin_g21_c02.avi,15,PlayingViolin
UCF50/Biking/v_Biking_g05_c01.avi,7,Biking
UCF50/Punch/v_Punch_g05_c07.avi,39,Punch
UCF50/HulaHoop/v_HulaHoop_g10_c01.avi,18,HulaHoop
UCF50/Basketball/v_Basketball_g05_c03.avi,17,Basketball
UCF50/BreastStroke/v_BreastStroke_g19_c03.avi,40,BreastStroke
UCF50/Diving/v_Diving_g11_c02.avi,32,Diving
UCF50/RopeClimbing/v_RopeClimbing_g22_c04.avi,20,RopeClimbing
UCF50/RockClimbingIndoor/v_RockClimbingIndoor_g22_c01.avi,41,RockClimbingIndoor
UCF50/SalsaSpin/v_SalsaSpin_g14_c01.avi,11,SalsaSpin
UCF50/Nunchucks/v_Nunchucks_g27_c02.avi,26,Nunchucks
UCF50/JavelinThrow/v_JavelinThrow_g13_c03.avi,42,JavelinThrow
UCF50/TennisSwing/v_TennisSwing_g15_c04.avi,30,TennisSwing
UCF50/Basketball/v_Basketball_g03_c05.avi,17,Basketball
UCF50/SoccerJuggling/v_SoccerJuggling_g05_c03.avi,2,SoccerJuggling
UCF50/Skiing/v_Skiing_g20_c03.avi,45,Skiing
UCF50/Diving/v_Diving_g06_c05.avi,32,Diving
UCF50/RockClimbingIndoor/v_RockClimbingIndoor_g06_c07.avi,41,RockClimbingIndoor
UCF50/BreastStroke/v_BreastStroke_g09_c01.avi,40,BreastStroke
UCF50/MilitaryParade/v_MilitaryParade_g03_c03.avi,3,MilitaryParade
UCF50/HorseRace/v_HorseRace_g14_c01.avi,0,HorseRace
UCF50/TrampolineJumping/v_TrampolineJumping_g21_c01.avi,24,TrampolineJumping
UCF50/BaseballPitch/v_BaseballPitch_g05_c03.avi,4,BaseballPitch
UCF50/Mixing/v_Mixing_g03_c04.avi,14,Mixing
UCF50/RockClimbingIndoor/v_RockClimbingIndoor_g14_c05.avi,41,RockClimbingIndoor
UCF50/CleanAndJerk/v_CleanAndJerk_g11_c01.avi,16,CleanAndJerk
UCF50/Punch/v_Punch_g25_c02.avi,39,Punch
UCF50/WalkingWithDog/v_WalkingWithDog_g10_c03.avi,34,WalkingWithDog
UCF50/Rowing/v_Rowing_g03_c01.avi,37,Rowing
UCF50/VolleyballSpiking/v_VolleyballSpiking_g11_c01.avi,8,VolleyballSpiking
UCF50/JugglingBalls/v_JugglingBalls_g08_c05.avi,5,JugglingBalls
UCF50/JumpingJack/v_JumpingJack_g25_c06.avi,19,JumpingJack
UCF50/HorseRace/v_HorseRace_g17_c04.avi,0,HorseRace
UCF50/PizzaTossing/v_PizzaTossing_g12_c01.avi,22,PizzaTossing
UCF50/JumpRope/v_JumpRope_g25_c01.avi,48,JumpRope
UCF50/BreastStroke/v_BreastStroke_g11_c04.avi,40,BreastStroke
UCF50/Swing/v_Swing_g20_c05.avi,46,Swing
UCF50/Rowing/v_Rowing_g25_c06.avi,37,Rowing
UCF50/HorseRace/v_HorseRace_g16_c01.avi,0,HorseRace
UCF50/BenchPress/v_BenchPress_g21_c02.avi,6,BenchPress
UCF50/Kayaking/v_Kayaking_g06_c01.avi,44,Kayaking
UCF50/HorseRiding/v_HorseRiding_g18_c03.avi,29,HorseRiding
UCF50/HorseRiding/v_HorseRiding_g18_c05.avi,29,HorseRiding
UCF50/TaiChi/v_TaiChi_g05_c03.avi,31,TaiChi
UCF50/HorseRiding/v_HorseRiding_g19_c08.avi,29,HorseRiding
UCF50/Drumming/v_Drumming_g05_c02.avi,33,Drumming
UCF50/YoYo/v_YoYo_g17_c02.avi,1,YoYo
UCF50/RockClimbingIndoor/v_RockClimbingIndoor_g07_c03.avi,41,RockClimbingIndoor
